HYDROLAB MS5 65376
"Log File Name : site_name_for_hydrolab_file"
"Setup Date (YYYY-MM-DD) : 2017-02-22"
"Setup Time (HH:MM:SS) : 11:48:20"
"Starting Date (YYYY-MM-DD) : 2017-02-22"
"Starting Time (HH:MM:SS) : 12:00:00"
"Stopping Date (YYYY-MM-DD) : 2024-09-22"
"Stopping Time (HH:MM:SS) : 12:48:20"
"Interval (HH:MM:SS) : 00:15:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","TDG","","TDG","","TDG","","IBatt","","EBatt","","IBatt","","EBatt","","Circ",""
"YYYY-MM-DD","HH:MM:SS","","°C","","mmHg","","psia","","mV","","Volts","","Volts","","%Left","","%Left","","Status",""

2017-02-23,09:15:00,"","15.97","","744","","14.39","","12.02","","11.2","","0.0","","81","","0","","1",""
2017-02-23,09:30:00,"","16.29","","746","","14.42","","12.04","","11.2","","0.0","","82","","0","","1",""
2017-02-23,09:45:00,"","15.22","","744","","14.39","","12.01","","11.2","","0.0","","82","","0","","1",""
2017-02-23,10:00:00,"","15.20","","744","","14.38","","12.01","","11.2","","0.0","","82","","0","","1",""
2017-02-23,10:15:00,"","11.44","","740","","14.31","","11.94","","11.2","","0.0","","82","","0","","1",""
2017-02-23,10:30:00,"","7.11","","932","","18.03","","15.08","","11.2","","0.0","","82","","0","","1",""
2017-02-23,10:45:00,"","6.96","","989","","19.13","","16.01","","11.2","","0.0","","82","","0","","1",""
2017-02-23,11:00:00,"","6.91","","1034","","20.00","","16.74","","11.2","","0.0","","82","","0","","1",""
2017-02-23,11:15:00,"","6.90","","1078","","20.85","","17.46","","11.2","","0.0","","81","","0","","1",""
2017-02-23,11:30:00,"","6.89","","1122","","21.70","","18.19","","11.1","","0.0","","81","","0","","1",""
2017-02-23,11:45:00,"","6.88","","1159","","22.42","","18.79","","11.1","","0.0","","81","","0","","1",""
2017-02-23,12:00:00,"","6.88","","1188","","22.97","","19.26","","11.1","","0.0","","81","","0","","1",""
2017-02-23,12:15:00,"","6.88","","1211","","23.42","","19.64","","11.1","","0.0","","81","","0","","1",""
2017-02-23,12:30:00,"","6.87","","1232","","23.82","","19.98","","11.1","","0.0","","81","","0","","1",""
2017-02-23,12:45:00,"","6.87","","1249","","24.15","","20.26","","11.1","","0.0","","81","","0","","1",""
2017-02-23,13:00:00,"","6.87","","1264","","24.44","","20.51","","11.1","","0.0","","81","","0","","1",""
2017-02-23,13:15:00,"","6.87","","1278","","24.71","","20.73","","11.1","","0.0","","81","","0","","1",""
2017-02-23,13:30:00,"","6.87","","1290","","24.94","","20.93","","11.1","","0.0","","81","","0","","1",""
2017-02-23,13:45:00,"","6.87","","1300","","25.15","","21.10","","11.1","","0.0","","81","","0","","1",""
2017-02-23,14:00:00,"","6.87","","1310","","25.34","","21.26","","11.1","","0.0","","81","","0","","1",""
2017-02-23,14:15:00,"","6.87","","1319","","25.51","","21.41","","11.1","","0.0","","81","","0","","1",""
2017-02-23,14:30:00,"","6.87","","1327","","25.67","","21.55","","11.1","","0.0","","81","","0","","1",""
2017-02-23,14:45:00,"","6.87","","1335","","25.81","","21.67","","11.1","","0.0","","81","","0","","1",""
2017-02-23,15:00:00,"","6.87","","1342","","25.95","","21.78","","11.1","","0.0","","81","","0","","1",""
2017-02-23,15:15:00,"","6.87","","1348","","26.07","","21.88","","11.1","","0.0","","81","","0","","1",""
2017-02-23,15:30:00,"","6.87","","1354","","26.18","","21.98","","11.1","","0.0","","81","","0","","1",""
2017-02-23,15:45:00,"","6.87","","1359","","26.28","","22.07","","11.1","","0.0","","81","","0","","1",""
2017-02-23,16:00:00,"","6.87","","1364","","26.38","","22.14","","11.1","","0.0","","81","","0","","1",""
2017-02-23,16:15:00,"","6.87","","1368","","26.46","","22.22","","11.1","","0.0","","81","","0","","1",""
2017-02-23,16:30:00,"","6.87","","1373","","26.55","","22.29","","11.1","","0.0","","81","","0","","1",""
2017-02-23,16:45:00,"","6.87","","1377","","26.62","","22.35","","11.1","","0.0","","81","","0","","1",""
2017-02-23,17:00:00,"","6.87","","1380","","26.69","","22.41","","11.1","","0.0","","81","","0","","1",""
2017-02-23,17:15:00,"","6.87","","1384","","26.76","","22.47","","11.1","","0.0","","81","","0","","1",""
2017-02-23,17:30:00,"","6.87","","1387","","26.82","","22.52","","11.1","","0.0","","81","","0","","1",""
2017-02-23,17:45:00,"","6.87","","1390","","26.88","","22.57","","11.1","","0.0","","81","","0","","1",""
2017-02-23,18:00:00,"","6.87","","1393","","26.93","","22.62","","11.1","","0.0","","79","","0","","1",""
