"TOA5","PO-03","CR800","2656","CR800.Std.04","CPU:F2_XM20170222.CR8","21158","F2_XM20170222"
"TIMESTAMP","RECORD","Bat_Volt","Bat_Volt_Min","Temp_Int","Pression_bridge","Pression_bridge_v","Pression_bridge_Avg","Pression_bridge_v_Avg","CH4","Ptot","CH4_v","Ptot_v","CH4_Avg","Ptot_Avg","CH4_v_Avg","Ptot_v_Avg"
"TS","RN","volt","volt","DegC","psi","millivolt","psi","millivolt","%","mbar","volt","volt","%","mbar","volt","volt"
"","","Smp","Min","Smp","Smp","Smp","Avg","Avg","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg"
"2017-02-24 17:30:00",48,11.3958,11.37908,0,0,0,0,0,103.9189,1937,5.104434,4.254149,103.9144,1935.602,5.103079,4.253247
"2017-02-24 18:00:00",49,11.30142,11.30142,0,0,0,0,0,103.9616,1938.012,5.10516,4.25748,103.9377,1936.965,5.104329,4.256352
"2017-02-24 18:30:00",50,11.26255,11.26255,0,0,0,0,0,103.9362,1938.765,5.104599,4.259625,103.947,1938.396,5.104671,4.259022
"2017-02-24 19:00:00",51,11.22923,11.22923,0,0,0,0,0,103.9502,1939.466,5.104599,4.260306,103.9571,1939.173,5.10494,4.260079
"2017-02-24 19:30:00",52,11.20745,11.20741,0,0,0,0,0,103.9641,1940.867,5.104599,4.263714,103.9618,1940.4,5.105167,4.261896
"2017-02-24 20:00:00",53,11.18108,11.18108,0,0,0,0,0,103.9502,1941.218,5.104599,4.264395,103.9595,1940.925,5.10494,4.264395
"2017-02-24 20:30:00",54,11.15843,11.15843,0,0,0,0,0,103.9641,1942.97,5.105281,4.266439,103.9571,1942.152,5.105281,4.265758
"2017-02-24 21:00:00",55,11.13854,11.13838,0,0,0,0,0,103.9502,1943.32,5.105281,4.268484,103.9618,1943.378,5.105053,4.268029
"2017-02-24 21:30:00",56,11.11084,11.11084,0,0,0,0,0,103.9682,1944.106,5.105479,4.26865,103.9627,1943.515,5.105326,4.269203
"2017-02-24 22:00:00",57,11.08862,11.08862,0,0,0,0,0,103.9795,1944.694,5.105349,4.271155,103.9688,1944.285,5.105396,4.27036
"2017-02-24 22:30:00",58,11.0664,11.0664,0,0,0,0,0,103.96,1945.278,5.105759,4.272291,103.9706,1945.375,5.105598,4.271797
"2017-02-24 23:00:00",59,11.04417,11.04417,0,0,0,0,0,103.9811,1946.83,5.10611,4.274629,103.9741,1946.09,5.106109,4.274097
"2017-02-24 23:30:00",60,11.0164,11.0164,0,0,0,0,0,104.0042,1947.725,5.10724,4.27705,103.9865,1947.196,5.106371,4.27534
"2017-02-25 00:00:00",61,10.9901,10.9901,0,0,0,0,0,104.0276,1948.975,5.10702,4.278118,104.0126,1948.603,5.10731,4.277848
"2017-02-25 00:30:00",62,10.95848,10.95848,0,0,0,0,0,104.0695,1951.078,5.110428,4.282207,104.0416,1949.793,5.108951,4.280504
"2017-02-25 01:00:00",63,10.90343,10.90343,0,0,0,0,0,104.223,1955.986,5.117927,4.291751,104.1556,1953.181,5.114177,4.286866
"2017-02-25 01:30:00",64,10.69196,10.69196,0,0,0,0,0,104.4742,1961.594,5.130878,4.303339,104.3975,1959.724,5.126447,4.299931
"2017-02-25 02:00:00",65,10.04752,10.04752,0,0,0,0,0,104.5021,1963.347,5.132242,4.305384,104.4812,1962.178,5.13031,4.304816
"2017-02-25 09:00:00",66,9.550291,9.550291,0,0,0,0,0,20.4355,107.7365,1.121548,0.8461041,24.44874,231.6737,1.149508,1.03224
"2017-02-25 09:30:00",67,11.14966,9.867372,0,0,0,0,0,1.828271,897.063,0.1172473,2.278143,5.269063,608.7966,0.2796299,1.720168
"2017-02-25 10:00:00",68,11.52032,11.18744,0,0,0,0,0,104.1393,1951.78,5.113157,4.283572,36.02963,1293.204,2.275847,3.043743
"2017-02-25 10:30:00",69,12.10384,11.4314,0,0,0,0,0,103.8881,1945.12,5.101568,4.271984,104.023,1948.801,5.108271,4.277892
"2017-02-25 11:00:00",70,11.88154,11.88154,0,0,0,0,0,103.8881,1946.172,5.10225,4.272666,103.8881,1945.646,5.101568,4.272666
"2017-02-25 11:30:00",71,12.09047,12.04826,0,0,0,0,0,103.8881,1945.821,5.101568,4.272666,103.8602,1945.179,5.099978,4.271871
"2017-02-25 12:00:00",72,11.97194,11.67225,0,0,0,0,0,103.8851,1946.46,5.100742,4.273908,103.9019,1946.703,5.102242,4.274836
"2017-02-25 12:30:00",73,11.66083,11.66083,0,0,0,0,0,103.9076,1947.747,5.101839,4.277774,103.904,1947.136,5.101776,4.276472
"2017-02-25 13:00:00",74,11.65527,11.65527,0,0,0,0,0,103.9041,1948.375,5.102351,4.277632,103.8944,1947.841,5.101878,4.27648
"2017-02-25 13:30:00",75,11.54972,11.54972,0,0,0,0,0,103.9173,1948.708,5.103675,4.278963,103.917,1948.643,5.102637,4.27929
"2017-02-25 14:00:00",76,11.91638,11.56639,0,0,0,0,0,103.8727,1948.301,5.100816,4.279532,103.8986,1948.832,5.101851,4.279316
"2017-02-25 14:30:00",77,12.27748,12.27748,0,0,0,0,0,103.8573,1947.977,5.100066,4.276859,103.8318,1947.308,5.099161,4.276579
"2017-02-25 15:00:00",78,12.89413,12.06082,0,0,0,0,0,103.8477,1948.067,5.099593,4.277034,103.857,1948.594,5.100163,4.27749
"2017-02-25 15:30:00",79,12.54414,12.06082,0,0,0,0,0,103.8587,1948.706,5.10013,4.279639,103.8591,1948.782,5.099695,4.278765
"2017-02-25 16:00:00",80,11.99971,11.8886,0,0,0,0,0,103.8533,1949.994,5.100548,4.28078,103.858,1949.811,5.100439,4.280426
"2017-02-25 16:30:00",81,11.82194,11.82194,0,0,0,0,0,103.8863,1950.102,5.10148,4.282354,103.8641,1949.967,5.100622,4.281411
"2017-02-25 17:00:00",82,11.73305,11.64972,0,0,0,0,0,103.8808,1950.687,5.101212,4.282129,103.8817,1950.646,5.101367,4.282618
"2017-02-25 17:30:00",83,11.68305,11.68305,0,0,0,0,0,103.909,1950.692,5.101224,4.284184,103.8835,1950.81,5.101114,4.283164
"2017-02-25 18:00:00",84,11.3775,11.3775,0,0,0,0,0,103.9112,1952.141,5.102696,4.284956,103.8952,1951.455,5.101914,4.284758
"2017-02-25 18:30:00",85,11.31084,11.31084,0,0,0,0,0,103.9398,1952.156,5.102731,4.286348,103.9145,1952.112,5.102515,4.285581
"2017-02-25 19:00:00",86,11.27751,11.27751,0,0,0,0,0,103.9098,1952.462,5.103309,4.287625,103.9111,1952.207,5.10292,4.286562
"2017-02-25 19:30:00",87,11.24973,11.24973,0,0,0,0,0,103.9363,1952.782,5.102557,4.286202,103.9294,1952.842,5.103583,4.28666
"2017-02-25 20:00:00",88,11.22195,11.22195,0,0,0,0,0,103.9363,1953.132,5.104601,4.288247,103.9316,1953.074,5.103693,4.287451
"2017-02-25 20:30:00",89,11.20529,11.20529,0,0,0,0,0,103.9363,1953.482,5.10392,4.288928,103.9409,1953.366,5.103579,4.28836
"2017-02-25 21:00:00",90,11.17751,11.17751,0,0,0,0,0,103.9642,1954.183,5.104601,4.289609,103.9409,1953.95,5.104601,4.289042
