Serial_number:
2022016
Project ID:
CGC_McCully
Location:
PO-05_20160729
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,LEVEL,TEMPERATURE
2016-07-29,15:51:20,13.1960,7.364
2016-07-29,15:51:21,13.1960,7.364
2016-07-29,15:51:22,13.1962,7.364
2016-07-29,15:51:23,13.1961,7.364
2016-07-29,15:51:24,13.1960,7.365
2016-07-29,15:51:25,13.1960,7.364
2016-07-29,15:51:26,13.1958,7.364
2016-07-29,15:51:27,13.1959,7.364
2016-07-29,15:51:28,13.1960,7.364
2016-07-29,15:51:29,13.1960,7.364
2016-07-29,15:51:30,13.1957,7.364
2016-07-29,15:51:31,13.1958,7.364
2016-07-29,15:51:32,13.1956,7.364
2016-07-29,15:51:33,13.1958,7.364
2016-07-29,15:51:34,13.1958,7.364
2016-07-29,15:51:35,13.1959,7.363
2016-07-29,15:51:36,13.1958,7.364
2016-07-29,15:51:37,13.1957,7.364
2016-07-29,15:51:38,13.1958,7.364
2016-07-29,15:51:39,13.1957,7.364
2016-07-29,15:51:40,13.1959,7.364
2016-07-29,15:51:41,13.1957,7.364
2016-07-29,15:51:42,13.1957,7.364
2016-07-29,15:51:43,13.1958,7.364
2016-07-29,15:51:44,13.1957,7.364
2016-07-29,15:51:45,13.1956,7.365
2016-07-29,15:51:46,13.1956,7.364
2016-07-29,15:51:47,13.1957,7.365
2016-07-29,15:51:48,13.1960,7.364
2016-07-29,15:51:49,13.1957,7.364
2016-07-29,15:51:50,13.1954,7.364
2016-07-29,15:51:51,13.1955,7.364
2016-07-29,15:51:52,13.1951,7.364
2016-07-29,15:51:53,13.1956,7.364
2016-07-29,15:51:54,13.1958,7.364
2016-07-29,15:51:55,13.1954,7.364
2016-07-29,15:51:56,13.1955,7.364
2016-07-29,15:51:57,13.1952,7.364
2016-07-29,15:51:58,13.1954,7.364
2016-07-29,15:51:59,13.1954,7.364
2016-07-29,15:52:00,13.1955,7.364
2016-07-29,15:52:01,13.1953,7.364
2016-07-29,15:52:02,13.1954,7.364
2016-07-29,15:52:03,13.1955,7.364
2016-07-29,15:52:04,13.1953,7.364
2016-07-29,15:52:05,13.1957,7.364
2016-07-29,15:52:06,13.1954,7.364
2016-07-29,15:52:07,13.1952,7.364
2016-07-29,15:52:08,13.1953,7.364
2016-07-29,15:52:09,13.1953,7.364
2016-07-29,15:52:11,13.1952,7.364
2016-07-29,15:52:12,13.1955,7.364
2016-07-29,15:52:13,13.1952,7.364
2016-07-29,15:52:14,13.1950,7.364
2016-07-29,15:52:15,13.1954,7.364
2016-07-29,15:52:16,13.1951,7.364
2016-07-29,15:52:17,13.1953,7.364
